Brawler_1,Brawler_2,Weight
BO,CARL,16
BO,CHARLIE,4
BO,CHESTER,15
BO,CHUCK,5
BO,CLANCY,3
BO,COLETTE,73
BO,COLT,55
BO,CORDELIUS,17
BO,CROW,37
BO,DARRYL,15
BO,DOUG,8
BO,DRACO,13
BO,DYNAMIKE,44
BO,EDGAR,84
BO,EL PRIMO,37
BO,EMZ,55
BO,EVE,4
BO,FANG,61
BO,FINX,7
BO,FRANK,36
BO,GALE,5
BO,GENE,14
BO,GRAY,12
BO,GRIFF,27
BO,GROM,25
BO,GUS,17
BO,HANK,4
BO,JACKY,15
BO,JAE-YONG,7
BO,JANET,11
BO,JESSIE,30
BO,JUJU,10
BO,KAZE,23
BO,KENJI,28
BO,KIT,31
BO,LARRY & LAWRIE,8
BO,LEON,36
BO,LILY,29
BO,LOLA,8
BO,LOU,6
BO,LUMI,10
BO,MAISIE,10
BO,MANDY,58
BO,MAX,15
BO,MEEPLE,8
BO,MEG,7
BO,MELODIE,5
BO,MICO,12
BO,MOE,4
BO,MORTIS,93
BO,MR. P,11
BO,NANI,8
BO,NITA,21
BO,OLLIE,1
BO,OTIS,2
BO,PAM,5
BO,PEARL,4
BO,PENNY,14
BO,PIPER,71
BO,POCO,21
BO,R-T,5
BO,RICO,44
BO,ROSA,3
BO,RUFFS,3
BO,SAM,4
BO,SANDY,16
BO,SHADE,14
BO,SHELLY,28
BO,SPIKE,37
BO,SPROUT,11
BO,SQUEAK,46
BO,STU,15
BO,SURGE,30
BO,TARA,27
BO,TICK,80
BO,WILLOW,7
BONNIE,BROCK,15
BONNIE,BULL,4
BONNIE,BUSTER,2
BONNIE,BUZZ,7
BONNIE,BYRON,16
BONNIE,CARL,9
BONNIE,CHARLIE,15
BONNIE,CHESTER,7
BONNIE,CHUCK,4
BONNIE,CLANCY,3
BONNIE,COLETTE,25
BONNIE,COLT,15
BONNIE,CORDELIUS,10
BONNIE,CROW,10
BONNIE,DARRYL,15
BONNIE,DOUG,3
BONNIE,DRACO,2
BONNIE,DYNAMIKE,10
BONNIE,EDGAR,29
BONNIE,EL PRIMO,9
BONNIE,EMZ,18
BONNIE,EVE,4
BONNIE,FANG,11
BONNIE,FINX,2
BONNIE,FRANK,8
BONNIE,GALE,4
BONNIE,GENE,10
BONNIE,GRAY,8
BONNIE,GRIFF,8
BONNIE,GROM,8
BONNIE,GUS,11
BONNIE,HANK,5
BONNIE,JACKY,2
BONNIE,JAE-YONG,4
BONNIE,JANET,1
BONNIE,JESSIE,9
BONNIE,JUJU,1
BONNIE,KAZE,10
BONNIE,KENJI,9
BONNIE,KIT,7
BONNIE,LARRY & LAWRIE,4
BONNIE,LEON,8
BONNIE,LILY,17
BONNIE,LOLA,4
BONNIE,LOU,7
BONNIE,LUMI,5
BONNIE,MAISIE,7
BONNIE,MANDY,31
BONNIE,MAX,4
BONNIE,MEEPLE,6
BONNIE,MEG,9
BONNIE,MELODIE,12
BONNIE,MICO,5
BONNIE,MOE,4
BONNIE,MORTIS,32
BONNIE,MR. P,4
BONNIE,NANI,6
BONNIE,NITA,10
BONNIE,OLLIE,2
BONNIE,OTIS,5
BONNIE,PAM,3
BONNIE,PEARL,3
BONNIE,PENNY,5
BONNIE,PIPER,29
BONNIE,POCO,1
BONNIE,R-T,4
BONNIE,RICO,10
BONNIE,ROSA,6
BONNIE,RUFFS,2
BONNIE,SAM,2
BONNIE,SANDY,5
BONNIE,SHADE,7
BONNIE,SHELLY,5
BONNIE,SPIKE,14
BONNIE,SQUEAK,11
BONNIE,STU,13
BONNIE,SURGE,9
BONNIE,TARA,3
BONNIE,TICK,18
BONNIE,WILLOW,3
BROCK,BROCK,1
BROCK,BULL,20
BROCK,BUSTER,8
BROCK,BUZZ,20
BROCK,BYRON,47
BROCK,CARL,19
BROCK,CHARLIE,6
BROCK,CHESTER,26
BROCK,CHUCK,6
BROCK,CLANCY,9
BROCK,COLETTE,107
BROCK,COLT,84
BROCK,CORDELIUS,10
BROCK,CROW,58
BROCK,DARRYL,22
BROCK,DOUG,10
BROCK,DRACO,6
BROCK,DYNAMIKE,96
BROCK,EDGAR,112
BROCK,EL PRIMO,28
BROCK,EMZ,47
BROCK,EVE,7
BROCK,FANG,78
BROCK,FINX,4
BROCK,FRANK,26
BROCK,GALE,10
BROCK,GENE,16
BROCK,GRAY,24
BROCK,GRIFF,22
BROCK,GROM,46
BROCK,GUS,34
BROCK,HANK,12
BROCK,JACKY,11
BROCK,JAE-YONG,13
BROCK,JANET,4
BROCK,JESSIE,38
BROCK,JUJU,9
BROCK,KAZE,19
BROCK,KENJI,23
BROCK,KIT,45
BROCK,LARRY & LAWRIE,5
BROCK,LEON,49
BROCK,LILY,38
BROCK,LOLA,6
BROCK,LOU,7
BROCK,LUMI,9
BROCK,MAISIE,16
BROCK,MANDY,126
BROCK,MAX,13
BROCK,MEEPLE,2
BROCK,MEG,10
BROCK,MELODIE,6
BROCK,MICO,16
BROCK,MOE,9
BROCK,MORTIS,90
BROCK,MR. P,20
BROCK,NANI,26
BROCK,NITA,22
BROCK,OLLIE,6
BROCK,OTIS,4
BROCK,PAM,13
BROCK,PEARL,7
BROCK,PENNY,13
BROCK,PIPER,167
BROCK,POCO,31
BROCK,R-T,9
BROCK,RICO,57
BROCK,ROSA,12
BROCK,RUFFS,2
BROCK,SAM,1
BROCK,SANDY,8
BROCK,SHADE,10
BROCK,SHELLY,22
BROCK,SPIKE,58
BROCK,SPROUT,17
BROCK,SQUEAK,69
BROCK,STU,33
BROCK,SURGE,31
BROCK,TARA,24
BROCK,TICK,82
BROCK,WILLOW,10
BULL,BUSTER,1
BULL,BUZZ,13
BULL,BYRON,11
BULL,CARL,13
BULL,CHARLIE,5
BULL,CHESTER,11
BULL,CHUCK,3
BULL,CLANCY,1
BULL,COLETTE,25
BULL,COLT,33
BULL,CORDELIUS,18
BULL,CROW,15
BULL,DARRYL,13
BULL,DOUG,7
BULL,DRACO,7
BULL,DYNAMIKE,41
BULL,EDGAR,40
BULL,EL PRIMO,19
