Brawler_1,Brawler_2,Weight
BELLE,JUJU,33
BELLE,KAZE,138
BELLE,KENJI,77
BELLE,KIT,133
BELLE,LARRY & LAWRIE,28
BELLE,LEON,99
BELLE,LILY,130
BELLE,LOLA,12
BELLE,LOU,20
BELLE,LUMI,43
BELLE,MAISIE,43
BELLE,MANDY,297
BELLE,MAX,62
BELLE,MEEPLE,29
BELLE,MEG,19
BELLE,MELODIE,63
BELLE,MICO,62
BELLE,MOE,24
BELLE,MORTIS,208
BELLE,MR. P,100
BELLE,NANI,84
BELLE,NITA,45
BELLE,OLLIE,17
BELLE,OTIS,20
BELLE,PAM,15
BELLE,PEARL,28
BELLE,PENNY,107
BELLE,PIPER,314
BELLE,POCO,36
BELLE,R-T,56
BELLE,RICO,114
BELLE,ROSA,15
BELLE,RUFFS,10
BELLE,SAM,15
BELLE,SANDY,152
BELLE,SHADE,45
BELLE,SHELLY,35
BELLE,SPIKE,103
BELLE,SPROUT,50
BELLE,SQUEAK,127
BELLE,STU,75
BELLE,SURGE,40
BELLE,TARA,69
BELLE,TICK,309
BELLE,WILLOW,24
BERRY,BERRY,23
BERRY,BIBI,92
BERRY,BO,68
BERRY,BONNIE,41
BERRY,BROCK,69
BERRY,BULL,96
BERRY,BUSTER,17
BERRY,BUZZ,34
BERRY,BYRON,39
BERRY,CARL,51
BERRY,CHARLIE,39
BERRY,CHESTER,27
BERRY,CHUCK,23
BERRY,CLANCY,11
BERRY,COLETTE,88
BERRY,COLT,43
BERRY,CORDELIUS,52
BERRY,CROW,59
BERRY,DARRYL,65
BERRY,DOUG,28
BERRY,DRACO,48
BERRY,DYNAMIKE,67
BERRY,EDGAR,105
BERRY,EL PRIMO,45
BERRY,EMZ,61
BERRY,EVE,9
BERRY,FANG,111
BERRY,FINX,17
BERRY,FRANK,66
BERRY,GALE,19
BERRY,GENE,15
BERRY,GRAY,38
BERRY,GRIFF,57
BERRY,GROM,45
BERRY,GUS,51
BERRY,HANK,39
BERRY,JACKY,11
BERRY,JAE-YONG,16
BERRY,JANET,14
BERRY,JESSIE,80
BERRY,JUJU,29
BERRY,KAZE,64
BERRY,KENJI,51
BERRY,KIT,57
BERRY,LARRY & LAWRIE,19
BERRY,LEON,25
BERRY,LILY,46
BERRY,LOLA,8
BERRY,LOU,12
BERRY,LUMI,36
BERRY,MAISIE,26
BERRY,MANDY,95
BERRY,MAX,26
BERRY,MEEPLE,27
BERRY,MEG,15
BERRY,MELODIE,36
BERRY,MICO,40
BERRY,MOE,20
BERRY,MORTIS,134
BERRY,MR. P,36
BERRY,NANI,17
BERRY,NITA,40
BERRY,OLLIE,12
BERRY,OTIS,10
BERRY,PAM,15
BERRY,PEARL,18
BERRY,PENNY,42
BERRY,PIPER,66
BERRY,POCO,43
BERRY,R-T,22
BERRY,RICO,49
BERRY,ROSA,11
BERRY,RUFFS,11
BERRY,SAM,11
BERRY,SANDY,29
BERRY,SHADE,44
BERRY,SHELLY,16
BERRY,SPIKE,32
BERRY,SPROUT,14
BERRY,SQUEAK,62
BERRY,STU,35
BERRY,SURGE,35
BERRY,TARA,34
BERRY,TICK,122
BERRY,WILLOW,17
BIBI,BIBI,1
BIBI,BO,83
BIBI,BONNIE,26
BIBI,BROCK,84
BIBI,BULL,92
BIBI,BUSTER,14
BIBI,BUZZ,51
BIBI,BYRON,35
BIBI,CARL,42
BIBI,CHARLIE,36
BIBI,CHESTER,52
BIBI,CHUCK,17
BIBI,CLANCY,21
BIBI,COLETTE,60
BIBI,COLT,83
BIBI,CORDELIUS,89
BIBI,CROW,84
BIBI,DARRYL,82
BIBI,DOUG,28
BIBI,DRACO,46
BIBI,DYNAMIKE,131
