Brawler_1,Brawler_2,Weight
BEA,JAE-YONG,11
BEA,JANET,10
BEA,JESSIE,18
BEA,JUJU,7
BEA,KAZE,18
BEA,KENJI,23
BEA,KIT,51
BEA,LARRY & LAWRIE,6
BEA,LEON,41
BEA,LILY,24
BEA,LOLA,8
BEA,LOU,6
BEA,LUMI,5
BEA,MAISIE,14
BEA,MANDY,66
BEA,MAX,11
BEA,MEEPLE,6
BEA,MEG,6
BEA,MELODIE,11
BEA,MICO,7
BEA,MOE,18
BEA,MORTIS,86
BEA,MR. P,10
BEA,NANI,9
BEA,NITA,6
BEA,OLLIE,5
BEA,OTIS,4
BEA,PAM,1
BEA,PEARL,7
BEA,PENNY,12
BEA,PIPER,92
BEA,POCO,11
BEA,R-T,4
BEA,RICO,39
BEA,ROSA,3
BEA,RUFFS,5
BEA,SAM,3
BEA,SANDY,10
BEA,SHADE,23
BEA,SHELLY,9
BEA,SPIKE,25
BEA,SPROUT,18
BEA,SQUEAK,26
BEA,STU,30
BEA,SURGE,25
BEA,TARA,11
BEA,TICK,47
BEA,WILLOW,5
BELLE,BELLE,1
BELLE,BERRY,9
BELLE,BIBI,11
BELLE,BO,18
BELLE,BONNIE,9
BELLE,BROCK,36
BELLE,BULL,4
BELLE,BUSTER,3
BELLE,BUZZ,11
BELLE,BYRON,12
BELLE,CARL,28
BELLE,CHARLIE,5
BELLE,CHESTER,9
BELLE,CLANCY,2
BELLE,COLETTE,37
BELLE,COLT,34
BELLE,CORDELIUS,11
BELLE,CROW,27
BELLE,DARRYL,7
BELLE,DOUG,4
BELLE,DRACO,9
BELLE,DYNAMIKE,29
BELLE,EDGAR,42
BELLE,EL PRIMO,5
BELLE,EMZ,17
BELLE,EVE,8
BELLE,FANG,43
BELLE,FINX,4
BELLE,FRANK,7
BELLE,GALE,8
BELLE,GENE,15
BELLE,GRAY,15
BELLE,GRIFF,9
BELLE,GROM,21
BELLE,GUS,38
BELLE,HANK,4
BELLE,JACKY,1
BELLE,JAE-YONG,3
BELLE,JANET,4
BELLE,JESSIE,12
BELLE,JUJU,4
BELLE,KAZE,5
BELLE,KENJI,7
BELLE,KIT,14
BELLE,LARRY & LAWRIE,2
BELLE,LEON,17
BELLE,LILY,23
BELLE,LOLA,4
BELLE,LOU,1
BELLE,LUMI,3
BELLE,MAISIE,4
BELLE,MANDY,48
BELLE,MAX,10
BELLE,MEEPLE,11
BELLE,MEG,5
BELLE,MELODIE,3
BELLE,MICO,6
BELLE,MOE,2
BELLE,MORTIS,31
BELLE,MR. P,9
BELLE,NANI,11
BELLE,NITA,3
BELLE,OLLIE,3
BELLE,OTIS,4
BELLE,PAM,2
BELLE,PEARL,5
BELLE,PENNY,11
BELLE,PIPER,83
BELLE,POCO,7
BELLE,R-T,1
BELLE,RICO,19
BELLE,RUFFS,3
BELLE,SAM,1
BELLE,SANDY,9
BELLE,SHADE,4
BELLE,SHELLY,7
