Player_Tag,Total_Trophies
#2LLLV2PG99,21371
#2RCJUUVPQP,12523
#2LVCURQU2,28597
#2QUPJPRULC,20447
#8V0QPU0J8,29874
#2QLQVQLJJ8,27304
#QGLVRYP02,1676
#998YLGQ8J,57235
#2QGQ99GCYG,18563
#YL0V98YPR,27678
#2VJ2R88CJ,55220
#P89RVYY90,52272
#2JPR999R0,73686
#22L8Y8G2JQ,46515
#LVCRU9LGV,10494
#QUUUGL20Q,10397
#Y20JCRRUV,28841
#2P992QCG,41381
#YQGCJR8L2,9798
#JL80J88Q,37667
#99JV0R8UL,8130
#PV28QUQ88,31295
#2LYJGRGGCU,18417
#8CUYLG2L2,37883
#20RP9Q8JV,19515
#2CCVRQ20Q,38390
#R92P9Q80Y,5118
#2U82GQ2LG,50454
#P8CCYY8Y8,45420
#LUUJ20RL9,29239
#288GLL9RJ,11913
#2G2Y0L8CG,28920
#2QLY2YY2YL,9590
#Y00PU9LY,27907
#PYP0RVJ0G,51150
#9CVRC8U89,61229
#2RU2V9Q2GY,4783
#9VVQUPVCJ,90957
#2QJ2L28QUP,41136
#2LCR2PQG2P,21860
#2RU2VCPY0L,7572
#2QG909QYPG,19790
#GQY0U0GG8,30212
#GJ0P8YCQQ,9369
#908P2GG92,32610
#RQPQC0QLR,63394
#8LUQY0RVG,55548
#2RP00VU9YU,16647
#PYCQLPRGV,20394
#2QU8PPPCY,38242
#20JQLY9C,60714
#2JYYPLCC8U,7907
#YCCYL2JVY,44967
#U8YLGVURV,39140
#2QJCPJQVPR,41740
#Q92QLP9CJ,35940
#RY8CG8UYP,51769
#PP0V2P892,78747
#92RJ29VLJ,23589
#2L9RCPCQQ,28275
#2JC0UVP0LY,9668
#2RRQQJPP92,12153
#GRJQG9U0V,16573
#GPGYUQUVU,29649
#G990LP80L,6493
#YJY02RU2L,18087
#L9LYVV998,41266
#28GJG9V2PY,13916
#2YCQ9CQY9,27315
#2LL8P080CJ,34239
#YVC8YCQRQ,71601
#UL9R92Q9,52847
#QRP0QL22R,25308
#Y22C9ULPC,52238
#2QLR2Q8020,17921
#8220RLQ0R,25949
#2JQG08VCCR,10676
#PG8VQUYYL,56754
#2JGP0P22LL,6780
#PVRVYU8G0,50597
#RRPCPCCLU,41410
#L8JPR8YP8,5713
#2LQJG228VJ,21460
#82GL2VCQC,31610
#YQ892RJP9,45855
#228Y98R800,17414
#2C8GVRGPYC,1978
#2PVJGJRY9L,25844
#2RJ2VLRUGP,8954
#LY0YQUYYQ,31588
#PG0UQ9JYJ,10393
#RRYQUCGQP,14221
#Y2YR0RG0,45379
#2QLRUR9PJG,8578
#L2PQQQ29P,68401
#GLPRRQQP9,60072
#Q80UYJ2J,18984
#LRRRGG8CJ,12693
#8P08GPV02,22117
#GQ8UP2VUG,48965
#Q9Q9QGLC,87241
#YJUVJVL8L,43855
#Y9RJ2GL8P,11789
#2YVGG2VJJ2,37277
#2JGY090PRR,4036
#QLUG8JGCL,6187
#28JQLY2CV,35566
#YUCYCUVV9,36592
#GJGPURYRP,8103
#YVV0YVGRU,29531
#JCYQ9UPL8,39435
#GJP9P8J2V,26747
#QU9J92LL,38107
#2GYR29V8Q0,10449
#2LRG89C0V,46001
#P929LY28,43608
#88PPV9UQJ,38407
#LVVC2RRPQ,42888
#GGCPPYY8Y,19399
#2QYG8CRURQ,10157
#GUC2U09LQ,11078
#8GRLYRCQQ,23501
#RP0JG9J0R,66950
#2YGJQGQYC,34349
#22P2QV8RRY,15374
#82JJGCQJP,85822
#Y9R8GRC92,15338
#29RYRR9J2,45094
#900Q0092,72797
#2JYU9JCRGL,8824
#CV0J80CYQ,788
#Q2LJL8PQG,10626
#8RQQQQJR9,33497
#Q90VJUJP2,14814
#RR9PG2V82,7242
#LG2PULU29,57618
#2JPLUYUCU0,768
#2Y22P8CCQ2,55514
#RLYL9PRCQ,22617
#Y899290QR,33594
#PJ8YPRUPP,56661
#2JCV88RR29,7553
#PUQPLVJLU,58252
#82QJRPGGL,51379
#8Q0VLJ80R,37313
#R9YLYCJ90,28171
#29QR0Q22U,43954
#GJGV0U8R8,33461
#YCJCV808G,16344
#2U9PYJU2C,42999
#LL20VGVYY,39953
#2QRVC0J99J,26776
#L2R2GPCC9,25383
#2RCJL8QUGL,14770
#Q0U9R988L,70846
#YGYGC89Q2,30753
#2VPVGC9R8,46738
#YP92UYQ2,42623
#9LP20QV8U,6896
#9RCQGLUUV,45716
#RV00RUU9P,29569
#Y92UVUPLY,61123
#8LJ8VJY0P,52695
#2R9LU8RCJP,8946
#2RCP9V2JV0,21027
#2GGG2YVQC,32378
#JG8LCQ802,48186
#R2U9R2VUJ,5902
#VJ9LR80G,38971
#202QVGL88G,4378
#2R0CVPGCGR,7693
#2RJRR822LY,5764
#2LQP88809L,21423
#2GG9PUJY00,31355
#2RY29Y9RY2,19294
#2YPUP889V9,12094
#2QC0VC0PGY,26022
#2YC0GCYRU,32488
#2GJ29JPL2V,14883
#2CYCCQLRRL,3527
#2QRLYUG8U8,21147
#280RQV8C22,65452
#UGJQ8UY2,14881
#2QL80890Y0,26800
#GL0908299,15774
#2QJVGPV8U2,24514
#9JJ9QLYQ9,17790
#9UY0VYC08,41051
#JL80U08P,47467
#RGCJYP0L9,19818
#2RCVR2QYRR,17120
#9JUC9VGVQ,23732
#2C0ULQC9G,22497
#2RJPL9VG,77287
#9L2Y0VV2J,47728
#2RVJQQR00J,10845
#2QJ90Y2JCL,25499
#2RLPYPP809,20990
#L0PVC8800,33393
#GQGPR9JV9,22474
#2JYYPCJCGL,11371
#22VJQCQJJU,30489
#2QG9LJJLU8,6907
#8LV9YP008,18952
#2RCQU8PJCC,17341
#9PV0GV9U0,29559
#2QURJQUV0L,30250
#2JPLRVGRPR,19627
#RQQGGLQC2,23355
#8Q9VVLLVQ,48310
#JYV2LJGV9,21878
#2U0YJG8VV,38456
#9YUC9V98J,10517
#99LCGRVJ2,13014
#2JQP8V2G88,25773
#8GG0JLQ,58333
#LPQUGYPUQ,18667
#2JQV22282R,6030
#892VPRQ,22421
#2C00Q8QYR,40619
#GVQ2909QP,13264
#2LJ92YGYJC,6780
#9VGLCLU8V,61787
#289U8YQ8,81674
#8C9CPQVL,92772
#RPLLV89VU,18929
#LJYYPJR8Y,54095
#82QC8C8JY,86503
#20QC888YU8,26322
#8GJRVU9Y,33821
#8PU2UCPQQ,81611
#8VY22J8C2,72478
#Q9RG2PG9J,24815
#JPG2JL8V,88694
#89V099V0L,42580
#2R9CPL2LJV,7836
#2QVGYGGQRU,16527
#PJQRL99C2,38079
#9LGRRP89R,84487
#JUYQJCVPL,61735
#92UPG0Q9C,8826
#P08C28L0,69956
#CUQ0VQUJ,43827
#LVC2GCP,42085
#8UC0YYQ0Y,30630
#2QQPRU09CL,28182
#QQ8LRV8Q8,28111
#L0LPP0UJ,79005
#G8YQ9YVC,48438
#PGP2GCL9L,181
#2C8LPPLGQP,695
#2C2R0VV08Q,1706
#YVYPQQVQQ,22166
#LPGRCCGQJ,23246
#2LJU8L0CGG,28810
#Y8QGLQ292,58327
#2J2GGLYC9V,11613
#UY28L0GY,81437
#2JYGG9UGC9,7776
#2LVVPG02R8,13938
#2RCG0R0LLP,5734
#QL0JLR2VG,31548
#2C2YP2LU9U,5565
#2G8P2VRCGG,17097
#2QPGRY0QR0,13729
#2LUC2G0Y2U,6583
#2P0Q9VLVV,81888
#RP0282GPL,39842
#28GRQ98L,38258
#2JRC9PVC90,1715
#2LCRRJ9J0L,22744
#PY2Y0QP0,37548
#8URL890YJ,98185
#LGCGCLG8U,57628
#2QRR09GVLV,20574
#P9L8PPCVU,35774
#2YGRPCR2,29095
#2JYLRLRJCR,7975
#2V2YYU9U2,19622
#2LRU2VRRRR,5691
#2QGPP0R8C9,15765
#CQJYJGGG,55383
#2U8GVR0G,22255
#2RG92PV2J,35519
#PRPPQLU89,20008
#28CU22V0G,56822
#PQPPQVJ0,30829
#8GC9JPLCR,25911
#2Y82UJ2299,11690
#2GL2CU2U,75485
#90JCG0L9,50840
#2LVGV2G9C,46420
#PYU82UYPP,29528
#LCRCYYLG,32245
#GGPYY8V0Y,22385
#QQ8CQL82J,56966
#2Q9RPUV2L,44217
#2RUGQ9RU82,12444
#29G8LJLCL,34746
#2GU8GG0LRQ,6940
#2RC29RLLPP,11506
#9U9980L9,68676
#2G8YUVG08,28078
#2JYQ8VRPU,25359
#2922CVRR9,60853
#2JC8892PL9,16011
#2QLL29PCPL,15038
#2QQ0V28QLL,5727
#2Y8YL9LQUP,10767
#2G2UY28PJV,10641
#LYY0LYYRG,36973
#2QU2LL8L99,21510
#28CQ9CVJRP,39103
#9UVRY8RR,31292
#VYJ9YYGLG,3843
#200JL989C,53999
#GGR92VL99,18235
#RURUJGY82,42290
#2LGG2CYY2,26291
#LPYYUJ98V,527
#2JL0Q0JQJ,76875
#LVGJRG2UU,41576
#2L0RPC8G9,23502
#RLVUY98PU,25002
#89URLYL2C,77519
#Q8JV2YQ98,21472
#9R2RJ08Y2,12299
#GCJ0CL00L,19508
#G9J9RQQGU,47668
#RP99LU88G,31329
#2GJ82CLGJL,9603
#YUUC9L290,78097
#GQUVRPL9R,15846
#80GJPG0Y0,57727
#2Y8YCJYJL9,23155
#9YVQLU2LG,28301
#8JYQYVY8R,57703
#9J2U002RP,37347
#2VUGUYCVQ,17586
#2GQQ8PGLRL,15635
#8YGY8PRPU,27313
#28P2LP2VCV,22440
#PQ0U2PV8V,38076
#RPQ0U8YYL,29434
#CR802JY,28298
#2Q8Q9LLR0U,33464
#LLL0J82UC,34578
#Q0CQ2UQ8Q,21593
#V2VVCL2,42754
#R2GRG0G0Q,24172
#2V2GJV90L,95017
#2YQJ0QQVC8,14400
#9RYJC988P,32829
#G989JJC9R,22249
#2QL2JYRPPR,8774
#2LCUY9CLJ2,32575
#QJ9RVGLG,94499
#9VV2V9GLV,34201
#QUUVVY0Q,40460
#2LG98YCRQP,14890
#GR02RGQ0L,36926
#QUQY0UVYV,14669
#2JU2CUV8C9,4534
#2Q99QPPVJG,31648
#2Y2RJ880,18488
#99C9RQ9Y9,37617
#JVG00J2C,85080
#2C0GRG99PV,1721
#9RVJRR2,38379
#Q8Q0QQ9JG,15933
#GRRQ9G0Y9,19181
#2C29CJ0808,6480
#QLV9QV2U0,13500
#PUJRL08VV,90560
#8GURR0RC,28581
#2JLVJR8RL,19974
#29GJQ8282,63319
#YP0P8L8JY,58485
#9UU09C002,21457
#GJGVVYRLU,37750
#8C0U9LQ92,42735
#2LLC2V9UL2,23470
#2GU2V29JJR,5964
#2R9090QR09,10146
#G0JR8JUG,28017
#LPPV9YLPV,54086
#QLLR2UV0L,40133
#VQ9YCLQL,6717
#2PL98G8GC,31523
#9RQPC8VPG,67481
#80RYJUYL8,69048
#2RLCCGQ8C0,40911
#GVVRYLL90,20538
#JQCPQ92L,61911
#YQGV80R8Y,59705
#2RJYGUPRLY,8367
#882L8VQUP,47626
#2LPPYCCCCL,23578
#GCC90V9JU,53715
#GGY0Q9LP,24792
#89UYQ0PCG,6219
#GRU998G9G,11285
#L9YCG2VR,3137
#Q9029UY0C,18385
#2RGUQUGYJ0,5496
#PY9CQC8YU,7955
#20JV2GPRC8,36374
#2V9YVCVVP,44110
#RL2808PJ9,33735
#29JC9J080,28422
#2RQVYY9GQ2,14315
#2Q299VCRC2,15620
#2R009UJUYG,8863
#20UVG9Y98,24404
#99Y00U0CJ,30710
#9GQCGJUVU,64534
#2CL8CYQ0J8,4864
#RU9VRG9LV,31058
#VU220P2Y0,20664
#8JCULVYYC,34953
#QJY9U8YJ,37064
#QG9CVJL2Q,50752
#GRLYGQG08,44417
#RRP9R9G29,37487
#2YVJQ2JUC,22498
#82YYLY2P9,33533
#2GQGCRVQCV,16564
#2C80JGQ9RP,4524
#2G8899U8J0,14487
#2UJJ0URPG,57243
#9QYY9PQRP,30823
#RCVJRYYRU,19284
#28PQV82V2Q,14808
