Brawler_1,Brawler_2,Weight
BARLEY,FRANK,41
BARLEY,GALE,12
BARLEY,GENE,16
BARLEY,GRAY,15
BARLEY,GRIFF,26
BARLEY,GROM,30
BARLEY,GUS,27
BARLEY,HANK,21
BARLEY,JACKY,35
BARLEY,JAE-YONG,4
BARLEY,JANET,6
BARLEY,JESSIE,56
BARLEY,JUJU,3
BARLEY,KAZE,13
BARLEY,KENJI,8
BARLEY,KIT,10
BARLEY,LARRY & LAWRIE,10
BARLEY,LEON,15
BARLEY,LILY,7
BARLEY,LOLA,5
BARLEY,LOU,1
BARLEY,LUMI,16
BARLEY,MAISIE,15
BARLEY,MANDY,30
BARLEY,MAX,15
BARLEY,MEEPLE,9
BARLEY,MEG,6
BARLEY,MELODIE,7
BARLEY,MICO,4
BARLEY,MOE,5
BARLEY,MORTIS,32
BARLEY,MR. P,10
BARLEY,NANI,15
BARLEY,NITA,55
BARLEY,OLLIE,2
BARLEY,OTIS,3
BARLEY,PAM,23
BARLEY,PEARL,11
BARLEY,PENNY,25
BARLEY,PIPER,24
BARLEY,POCO,43
BARLEY,R-T,3
BARLEY,RICO,29
BARLEY,ROSA,15
BARLEY,RUFFS,2
BARLEY,SAM,10
BARLEY,SANDY,13
BARLEY,SHADE,16
BARLEY,SHELLY,45
BARLEY,SPIKE,23
BARLEY,SPROUT,5
BARLEY,SQUEAK,20
BARLEY,STU,31
BARLEY,SURGE,13
BARLEY,TARA,18
BARLEY,TICK,41
BARLEY,WILLOW,6
BEA,BEA,3
BEA,BELLE,35
BEA,BERRY,10
BEA,BIBI,11
BEA,BO,48
BEA,BONNIE,20
BEA,BROCK,54
BEA,BULL,22
BEA,BUSTER,4
BEA,BUZZ,18
BEA,BYRON,21
BEA,CARL,32
BEA,CHARLIE,12
BEA,CHESTER,13
BEA,CHUCK,3
BEA,CLANCY,5
BEA,COLETTE,20
BEA,COLT,45
BEA,CORDELIUS,13
BEA,CROW,25
BEA,DARRYL,18
BEA,DOUG,14
BEA,DRACO,15
BEA,DYNAMIKE,33
BEA,EDGAR,113
BEA,EL PRIMO,29
BEA,EMZ,37
BEA,EVE,7
BEA,FANG,54
BEA,FINX,6
BEA,FRANK,43
BEA,GALE,13
BEA,GENE,21
BEA,GRAY,9
BEA,GRIFF,32
BEA,GROM,30
BEA,GUS,52
BEA,HANK,7
BEA,JACKY,11
BEA,JAE-YONG,5
BEA,JANET,8
BEA,JESSIE,13
BEA,JUJU,2
BEA,KAZE,19
BEA,KENJI,7
BEA,KIT,18
BEA,LARRY & LAWRIE,9
BEA,LEON,20
BEA,LILY,24
BEA,LOLA,8
BEA,LOU,6
BEA,LUMI,6
BEA,MAISIE,19
BEA,MANDY,38
BEA,MAX,26
BEA,MEEPLE,13
BEA,MEG,5
BEA,MELODIE,6
BEA,MICO,9
BEA,MOE,4
BEA,MORTIS,93
BEA,MR. P,11
BEA,NANI,29
BEA,NITA,26
BEA,OLLIE,7
BEA,OTIS,10
BEA,PAM,22
BEA,PEARL,7
BEA,PENNY,24
BEA,PIPER,75
BEA,POCO,24
BEA,R-T,6
BEA,RICO,36
BEA,ROSA,17
BEA,RUFFS,3
BEA,SAM,5
BEA,SANDY,16
BEA,SHADE,20
BEA,SHELLY,27
BEA,SPIKE,31
BEA,SPROUT,14
BEA,SQUEAK,29
BEA,STU,35
BEA,SURGE,15
BEA,TARA,22
BEA,TICK,47
