Brawler_1,Brawler_2,Weight
BARLEY,EDGAR,53
BARLEY,EL PRIMO,27
BARLEY,EMZ,36
BARLEY,EVE,5
BARLEY,FANG,39
BARLEY,FINX,2
BARLEY,FRANK,35
BARLEY,GALE,7
BARLEY,GENE,4
BARLEY,GRAY,3
BARLEY,GRIFF,18
BARLEY,GROM,13
BARLEY,GUS,16
BARLEY,HANK,7
BARLEY,JACKY,16
BARLEY,JAE-YONG,13
BARLEY,JANET,2
BARLEY,JESSIE,19
BARLEY,JUJU,8
BARLEY,KAZE,11
BARLEY,KENJI,16
BARLEY,KIT,7
BARLEY,LARRY & LAWRIE,6
BARLEY,LEON,10
BARLEY,LILY,8
BARLEY,LOLA,6
BARLEY,LOU,1
BARLEY,LUMI,9
BARLEY,MAISIE,9
BARLEY,MANDY,31
BARLEY,MAX,12
BARLEY,MEEPLE,10
BARLEY,MEG,7
BARLEY,MELODIE,7
BARLEY,MICO,7
BARLEY,MOE,3
BARLEY,MORTIS,27
BARLEY,MR. P,7
BARLEY,NANI,7
BARLEY,NITA,36
BARLEY,OLLIE,2
BARLEY,OTIS,1
BARLEY,PAM,2
BARLEY,PEARL,8
BARLEY,PENNY,15
BARLEY,PIPER,19
BARLEY,POCO,23
BARLEY,R-T,6
BARLEY,RICO,30
BARLEY,ROSA,9
BARLEY,RUFFS,1
BARLEY,SAM,4
BARLEY,SANDY,11
BARLEY,SHADE,17
BARLEY,SHELLY,15
BARLEY,SPIKE,20
BARLEY,SPROUT,6
BARLEY,SQUEAK,15
BARLEY,STU,12
BARLEY,SURGE,12
BARLEY,TARA,15
BARLEY,TICK,35
BEA,BEA,2
BEA,BELLE,27
BEA,BERRY,11
BEA,BIBI,18
BEA,BO,44
BEA,BONNIE,25
BEA,BROCK,42
BEA,BULL,14
BEA,BUSTER,2
BEA,BUZZ,11
BEA,BYRON,15
BEA,CARL,40
BEA,CHARLIE,5
BEA,CHESTER,16
BEA,CHUCK,11
BEA,CLANCY,3
BEA,COLETTE,21
BEA,COLT,38
BEA,CORDELIUS,14
BEA,CROW,24
BEA,DARRYL,25
BEA,DOUG,21
BEA,DRACO,15
BEA,DYNAMIKE,32
BEA,EDGAR,78
BEA,EL PRIMO,11
BEA,EMZ,31
BEA,EVE,4
BEA,FANG,51
BEA,FINX,4
BEA,FRANK,36
BEA,GALE,5
BEA,GENE,14
BEA,GRAY,10
BEA,GRIFF,32
BEA,GROM,28
BEA,GUS,36
BEA,HANK,11
BEA,JACKY,15
BEA,JAE-YONG,9
BEA,JANET,14
BEA,JESSIE,20
BEA,JUJU,4
BEA,KAZE,16
BEA,KENJI,20
BEA,KIT,24
BEA,LARRY & LAWRIE,9
BEA,LEON,19
BEA,LILY,21
BEA,LOLA,4
BEA,LOU,9
BEA,LUMI,11
BEA,MAISIE,6
BEA,MANDY,49
BEA,MAX,11
BEA,MEEPLE,22
BEA,MEG,8
BEA,MELODIE,8
BEA,MICO,8
BEA,MOE,2
BEA,MORTIS,50
BEA,MR. P,10
BEA,NANI,16
BEA,NITA,15
BEA,OLLIE,2
BEA,OTIS,9
BEA,PAM,4
BEA,PEARL,7
BEA,PENNY,20
BEA,PIPER,55
BEA,POCO,11
BEA,R-T,2
BEA,RICO,29
BEA,ROSA,8
BEA,RUFFS,2
BEA,SANDY,13
BEA,SHADE,16
BEA,SHELLY,13
BEA,SPIKE,37
BEA,SPROUT,5
BEA,SQUEAK,40
BEA,STU,17
BEA,SURGE,17
BEA,TARA,21
BEA,TICK,43
BEA,WILLOW,5
BELLE,BERRY,11
BELLE,BIBI,17
BELLE,BO,35
BELLE,BONNIE,22
BELLE,BROCK,49
BELLE,BULL,11
BELLE,BUSTER,1
BELLE,BUZZ,8
BELLE,BYRON,19
BELLE,CARL,25
BELLE,CHARLIE,6
BELLE,CHESTER,8
BELLE,CHUCK,12
BELLE,CLANCY,9
BELLE,COLETTE,21
BELLE,COLT,44
BELLE,CORDELIUS,17
BELLE,CROW,24
BELLE,DARRYL,18
BELLE,DOUG,21
BELLE,DRACO,8
BELLE,DYNAMIKE,37
BELLE,EDGAR,119
BELLE,EL PRIMO,13
BELLE,EMZ,45
BELLE,EVE,4
BELLE,FANG,126
BELLE,FINX,6
BELLE,FRANK,30
BELLE,GALE,5
BELLE,GENE,20
BELLE,GRAY,13
BELLE,GRIFF,20
BELLE,GROM,23
BELLE,GUS,26
BELLE,HANK,8
BELLE,JACKY,8
BELLE,JAE-YONG,4
BELLE,JANET,6
BELLE,JESSIE,20
BELLE,JUJU,5
BELLE,KAZE,12
BELLE,KENJI,24
BELLE,KIT,20
BELLE,LARRY & LAWRIE,9
BELLE,LEON,38
BELLE,LILY,27
BELLE,LOLA,5
BELLE,LOU,3
BELLE,LUMI,15
BELLE,MAISIE,12
BELLE,MANDY,49
BELLE,MAX,14
BELLE,MEEPLE,8
BELLE,MEG,7
BELLE,MELODIE,9
BELLE,MICO,7
BELLE,MORTIS,38
BELLE,MR. P,10
BELLE,NANI,21
BELLE,NITA,5
BELLE,OLLIE,3
BELLE,OTIS,2
BELLE,PAM,6
BELLE,PEARL,8
BELLE,PENNY,24
BELLE,PIPER,56
BELLE,POCO,7
BELLE,R-T,10
BELLE,RICO,27
BELLE,ROSA,7
BELLE,RUFFS,3
BELLE,SANDY,66
BELLE,SHADE,15
BELLE,SHELLY,9
BELLE,SPIKE,31
BELLE,SPROUT,7
BELLE,SQUEAK,31
BELLE,STU,16
BELLE,SURGE,20
BELLE,TARA,13
BELLE,TICK,43
BELLE,WILLOW,1
BERRY,BERRY,2
BERRY,BIBI,6
BERRY,BO,21
BERRY,BONNIE,7
BERRY,BROCK,20
BERRY,BULL,9
BERRY,BUSTER,2
BERRY,BUZZ,3
BERRY,BYRON,9
BERRY,CARL,12
BERRY,CHARLIE,7
BERRY,CHESTER,6
BERRY,CHUCK,9
BERRY,CLANCY,7
BERRY,COLETTE,11
BERRY,COLT,14
BERRY,CORDELIUS,9
BERRY,CROW,14
BERRY,DARRYL,11
BERRY,DOUG,22
BERRY,DRACO,10
BERRY,DYNAMIKE,16
BERRY,EDGAR,43
BERRY,EL PRIMO,9
BERRY,EMZ,13
BERRY,EVE,4
BERRY,FANG,40
BERRY,FINX,1
BERRY,FRANK,16
BERRY,GALE,5
BERRY,GENE,4
BERRY,GRAY,4
BERRY,GRIFF,13
BERRY,GROM,11
BERRY,GUS,10
BERRY,HANK,7
BERRY,JACKY,7
BERRY,JAE-YONG,8
BERRY,JANET,5
BERRY,JESSIE,12
BERRY,JUJU,3
BERRY,KAZE,12
BERRY,KENJI,13
BERRY,KIT,9
BERRY,LARRY & LAWRIE,5
BERRY,LEON,7
BERRY,LILY,14
BERRY,LOU,5
BERRY,LUMI,6
BERRY,MAISIE,5
BERRY,MANDY,17
BERRY,MAX,7
BERRY,MEEPLE,5
BERRY,MEG,7
BERRY,MELODIE,5
BERRY,MICO,5
BERRY,MOE,3
BERRY,MORTIS,20
BERRY,MR. P,5
BERRY,NANI,4
BERRY,NITA,6
BERRY,OLLIE,4
BERRY,OTIS,4
BERRY,PAM,7
BERRY,PEARL,5
BERRY,PENNY,14
BERRY,PIPER,10
BERRY,POCO,18
BERRY,R-T,18
BERRY,RICO,19
BERRY,ROSA,3
BERRY,RUFFS,3
BERRY,SAM,2
BERRY,SANDY,13
BERRY,SHADE,12
BERRY,SHELLY,6
BERRY,SPIKE,9
BERRY,SPROUT,3
BERRY,SQUEAK,7
BERRY,STU,9
BERRY,SURGE,7
BERRY,TARA,8
BERRY,TICK,15
BERRY,WILLOW,5
BIBI,BO,28
BIBI,BONNIE,12
BIBI,BROCK,20
BIBI,BULL,26
BIBI,BUSTER,8
BIBI,BUZZ,10
BIBI,BYRON,11
BIBI,CARL,28
BIBI,CHARLIE,4
BIBI,CHESTER,13
BIBI,CHUCK,5
BIBI,CLANCY,7
BIBI,COLETTE,10
BIBI,COLT,31
BIBI,CORDELIUS,19
BIBI,CROW,23
BIBI,DARRYL,18
BIBI,DOUG,31
BIBI,DRACO,10
BIBI,DYNAMIKE,33
BIBI,EDGAR,59
BIBI,EL PRIMO,30
BIBI,EMZ,19
BIBI,FANG,52
BIBI,FINX,3
BIBI,FRANK,44
BIBI,GALE,12
BIBI,GENE,8
BIBI,GRAY,6
BIBI,GRIFF,23
BIBI,GROM,11
BIBI,GUS,6
BIBI,HANK,6
BIBI,JACKY,14
BIBI,JAE-YONG,5
BIBI,JANET,4
BIBI,JESSIE,25
BIBI,JUJU,8
BIBI,KAZE,12
BIBI,KENJI,25
BIBI,KIT,18
BIBI,LARRY & LAWRIE,6
BIBI,LEON,23
BIBI,LILY,16
BIBI,LOLA,3
BIBI,LOU,4
BIBI,LUMI,8
BIBI,MAISIE,7
BIBI,MANDY,20
BIBI,MAX,12
BIBI,MEEPLE,8
BIBI,MEG,6
BIBI,MELODIE,3
BIBI,MICO,3
BIBI,MOE,2
BIBI,MORTIS,65
BIBI,MR. P,3
BIBI,NANI,14
BIBI,NITA,25
BIBI,OLLIE,3
BIBI,OTIS,3
BIBI,PAM,3
BIBI,PEARL,6
BIBI,PENNY,12
BIBI,PIPER,14
BIBI,POCO,13
BIBI,R-T,3
BIBI,RICO,37
BIBI,ROSA,3
BIBI,RUFFS,3
BIBI,SAM,4
BIBI,SANDY,17
BIBI,SHADE,28
BIBI,SHELLY,22
BIBI,SPIKE,11
BIBI,SPROUT,3
BIBI,SQUEAK,26
BIBI,STU,11
BIBI,SURGE,20
BIBI,TARA,19
BIBI,TICK,29
BIBI,WILLOW,8
BO,BO,7
BO,BONNIE,31
BO,BROCK,81
BO,BULL,33
BO,BUSTER,10
BO,BUZZ,16
BO,BYRON,21
BO,CARL,40
BO,CHARLIE,9
BO,CHESTER,25
BO,CHUCK,23
BO,CLANCY,12
BO,COLETTE,28
BO,COLT,65
BO,CORDELIUS,30
BO,CROW,45
BO,DARRYL,34
BO,DOUG,41
BO,DRACO,24
BO,DYNAMIKE,71
BO,EDGAR,170
BO,EL PRIMO,41
BO,EMZ,60
BO,EVE,10
BO,FANG,112
BO,FINX,7
BO,FRANK,80
BO,GALE,10
BO,GENE,24
BO,GRAY,11
BO,GRIFF,52
BO,GROM,46
BO,GUS,44
BO,HANK,12
BO,JACKY,22
BO,JAE-YONG,6
BO,JANET,8
BO,JESSIE,52
BO,JUJU,2
BO,KAZE,28
BO,KENJI,42
BO,KIT,32
BO,LARRY & LAWRIE,6
BO,LEON,33
BO,LILY,38
BO,LOLA,15
BO,LOU,9
BO,LUMI,23
BO,MAISIE,12
BO,MANDY,72
BO,MAX,24
BO,MEEPLE,13
BO,MEG,11
BO,MELODIE,17
BO,MICO,13
BO,MOE,5
BO,MORTIS,100
BO,MR. P,26
BO,NANI,13
BO,NITA,44
BO,OLLIE,6
BO,OTIS,10
BO,PAM,12
BO,PEARL,11
BO,PENNY,55
BO,PIPER,46
BO,POCO,35
BO,R-T,14
BO,RICO,54
BO,ROSA,12
BO,RUFFS,3
BO,SAM,5
BO,SANDY,26
BO,SHADE,28
BO,SHELLY,28
BO,SPIKE,51
BO,SPROUT,6
BO,SQUEAK,67
BO,STU,28
BO,SURGE,25
BO,TARA,35
BO,TICK,100
BO,WILLOW,7
BONNIE,BONNIE,1
BONNIE,BROCK,28
BONNIE,BULL,4
BONNIE,BUSTER,3
BONNIE,BUZZ,6
BONNIE,BYRON,18
BONNIE,CARL,31
